path	selected_blob	monorepo_blob	successor_blob	disposition
CHANGELOG.md	490f6fa0552697102adcb37a475f709bd95c279d	0958c389e98705d2a3e035d3f2bd32e835525edd	0958c389e98705d2a3e035d3f2bd32e835525edd	already-equivalent
Cargo.lock	3d115694556d710cd6f96ab4b20cd62356b4ca9a	absent	9ece57eee464b72a60c6e9247f7ecdda81199528	root-lock-regeneration-required
Justfile	56ade180df80c5ed4c0b874a9649860d74049954	38e5d009a0747ef97de8fdc583c1ab6c07db8feb	38e5d009a0747ef97de8fdc583c1ab6c07db8feb	already-equivalent
README.md	ce8497bbcd0f6b24f41831a1b48e4b1743830629	3b9863bd0249d364b9233e0f860314a2b577d00f	3b9863bd0249d364b9233e0f860314a2b577d00f	already-equivalent
agent/owner-map.json	56db528ce7aa7d4816187f91c2f0c5559cb77ef1	ced00794d22eb895b90446b6172fb5f8afc9892e	ced00794d22eb895b90446b6172fb5f8afc9892e	already-equivalent
agent/test-map.json	e8df0f8ad3a0a1021a3885c361de8acea420cfa3	d86e3dc92192fdcd9deabb9320ec4ed7f42f0538	d86e3dc92192fdcd9deabb9320ec4ed7f42f0538	already-equivalent
contracts/generated/DismissPullReviewRequest.ts	absent	absent	503eeb20dcf1de04d65c5632d5fc82a5b7081f24	owning-contract-regeneration-required
contracts/generated/PullRequestReview.ts	d3281669fe4143d07971af6fefad321cfc1fe52b	d3281669fe4143d07971af6fefad321cfc1fe52b	3f835246cd7e5956c7bc2fb9514bf4b6e8f57a65	owning-contract-regeneration-required
crates/jeryu-core/Cargo.toml	cde967019d219de1ea4f218b6b95a8d66ceeabc5	cde967019d219de1ea4f218b6b95a8d66ceeabc5	fc1cab2f0f0ab25c9b85d3ec6b20ec0414b0ed8e	import-successor-source
crates/jeryu-core/src/branch_protection/evaluate.rs	5e24bd3a5c1e9e0b5b6f1d59fc063f1fd1954197	5e24bd3a5c1e9e0b5b6f1d59fc063f1fd1954197	f87d2aae2e68962ba326d442ed685c8c7ea79c31	import-successor-source
crates/jeryu-core/src/branch_protection/mod.rs	581233a34fb841a11070484258d624a65565ecba	581233a34fb841a11070484258d624a65565ecba	95e4e7d50e8a3d04b6f6fc7a15d3edd99b669611	import-successor-source
crates/jeryu-core/src/branch_protection/reviews.rs	5f5a0b5b7ea99c4e25833ae4de32bd53d06a4888	5f5a0b5b7ea99c4e25833ae4de32bd53d06a4888	453dc209aba5cf5a78f9128768726c23414b4474	import-successor-source
crates/jeryu-core/src/engine/accounts.rs	f8f014f052d45d6acfe8ad7fd01fb194469b9724	f8f014f052d45d6acfe8ad7fd01fb194469b9724	350e7afd5a73031005a2bb937e6d5041a90372d2	import-successor-source
crates/jeryu-core/src/engine/audit.rs	ddf6ca6a11b0cf07f06066409b934a8dded8121b	ddf6ca6a11b0cf07f06066409b934a8dded8121b	82771e100e20cd087c97e9c26c91a10f7773d66b	import-successor-source
crates/jeryu-core/src/engine/auth.rs	38f50854af867a226feecee64c0391f8e124e73e	38f50854af867a226feecee64c0391f8e124e73e	49bdd399a87ab46960ad89dc582e9bd7e63101a1	import-successor-source
crates/jeryu-core/src/engine/branch_protection.rs	903fec82a32a96c03cbc3a4f9d629e02d30181f6	903fec82a32a96c03cbc3a4f9d629e02d30181f6	a9cfbc9dc6dd96d1d86ce7228baf7c3fa8a3fc6d	import-successor-source
crates/jeryu-core/src/engine/check_runs.rs	81d7bf3e11d736bd1e00eee1e37575a307126f90	81d7bf3e11d736bd1e00eee1e37575a307126f90	7d46a6c9ffd77669a3868cda8d11ed67c9afb3c8	import-successor-source
crates/jeryu-core/src/engine/commit_status.rs	67e7b79d7c8777ee7575b3bf5aa9f7a8616e50c6	67e7b79d7c8777ee7575b3bf5aa9f7a8616e50c6	301d716940707ac50111b62e4bab05c4c65187df	import-successor-source
crates/jeryu-core/src/engine/coordinator.rs	absent	absent	742850a72e021a98424910338fffb19e36ceb5ba	import-successor-source
crates/jeryu-core/src/engine/issues.rs	c1b1850b9ebff6d17489b3ed6441d4d399352b3a	c1b1850b9ebff6d17489b3ed6441d4d399352b3a	dbff5610ce9a274e629be571b60b95ec7cc519b7	import-successor-source
crates/jeryu-core/src/engine/jankurai.rs	b212128271898b4f1f180a0b60c8a2db696d93e1	b212128271898b4f1f180a0b60c8a2db696d93e1	638906c849584bd0dc67bbe573af03e8c351da60	import-successor-source
crates/jeryu-core/src/engine/mod.rs	31b4dbc236b408fbb8da12b1e240f788182eb0a8	31b4dbc236b408fbb8da12b1e240f788182eb0a8	fcc995b4a766a836b877d80e1662ae1d852437eb	import-successor-source
crates/jeryu-core/src/engine/pull_requests.rs	4805f7b2cc8294bfdc1ec7911b922a7bfce7b302	4805f7b2cc8294bfdc1ec7911b922a7bfce7b302	f2605c744ea7b67d7a1e9a49ce66f147cc6cbe37	import-successor-source
crates/jeryu-core/src/engine/readmes.rs	f5d5651f56fcf511e06a482ed9a88422763c823b	f5d5651f56fcf511e06a482ed9a88422763c823b	2820395884159f3e053738b9b889f6bf0fcb5670	import-successor-source
crates/jeryu-core/src/engine/repositories.rs	294883dbfc71a1ba62891d52dbe07e24bf00258b	029e640cab0f42b6ade30fd9566ee8a9c9af9db0	3076e10428cd00355a9792307317c17b95c27659	reviewed-visibility-and-runtime-reconciliation
crates/jeryu-core/src/engine/repository_transfer.rs	0cbf76988ce640635d783d878888f3919c6e1d7f	0cbf76988ce640635d783d878888f3919c6e1d7f	1f04bcdaaa30b11ac88f9f1b5206e11d59cb5d68	import-successor-source
crates/jeryu-core/src/engine/reviews.rs	e1f7cc1c9e6d0d4abcf35fc98e589a8f64acdbdc	e1f7cc1c9e6d0d4abcf35fc98e589a8f64acdbdc	0f9c7a2cc3a64f3e3a92189478140ed425397236	import-successor-source
crates/jeryu-core/src/engine/runtime.rs	absent	absent	e4724e67fb764875ef3849706e263e8b8864b2ef	import-successor-source
crates/jeryu-core/src/engine/storage.rs	ed0509a2f7fe29a2a304d390f6a9ef512116e27a	ed0509a2f7fe29a2a304d390f6a9ef512116e27a	3bf6a5e7a742985ca23ed86000a3bb2a07c11b22	import-successor-source
